iter	RMSE
0	0.2563123272
1	0.2550017197
2	0.253563013
3	0.2517512417
4	0.2501151018
5	0.2489211125
6	0.2475094112
7	0.2462813754
8	0.2449781552
9	0.2433788203
10	0.2424374066
11	0.2396897767
12	0.2372745653
13	0.2360934348
14	0.2335302131
15	0.2325807754
16	0.2315254934
17	0.230172139
18	0.2286405126
19	0.2269622622
20	0.2262084329
21	0.2244149633
22	0.2234209866
23	0.2220965554
24	0.2210065738
25	0.2201959278
