iter	Passed	Remaining
0	0	92
1	0	78
2	1	71
3	1	66
4	1	62
5	2	60
6	2	58
7	2	56
8	3	55
9	3	55
10	3	54
11	4	53
12	4	54
13	4	54
14	5	53
15	5	53
16	6	54
17	6	55
18	7	56
19	7	55
20	7	54
21	8	54
22	8	53
23	8	52
24	9	51
25	9	51
